r,E(Xr),Simulation (10e3),Simulation (10e4),Simulation (10e6)
1,6.263888888888888,6.097,6.3052,6.260571
2,10.526813271604938,10.42,10.4316,10.535745
3,13.268170894418724,13.816,13.2647,13.25986
4,14.865265539117273,15.473,14.4775,14.884044
5,15.613690366607555,15.642,15.5971,15.607808
6,15.743804452995949,15.069,15.641,15.767776
7,15.434030522786541,15.844,15.3843,15.415402
8,14.821568994104533,14.102,14.8581,14.770888
9,14.011014439739442,14.576,13.9952,13.990687
10,13.081271197596239,14.444,12.9703,13.050102
11,12.091091641667079,11.861,11.9155,12.105228
12,11.083500671528155,11.401,10.4522,11.061991
13,10.089320923792702,9.239,10.2012,10.037231
14,9.129973100910705,8.875,9.6881,9.0978
15,8.219693044718715,8.245,8.2097,8.23269
16,7.3672804326738115,5.505,7.3727,7.356745
17,6.577472157122408,6.687,6.745,6.604284
18,5.852015669204495,4.532,5.7607,5.86458
19,5.19050309548655,5.501,4.9225,5.190444
20,4.591015164867489,4.854,4.4166,4.586915
21,4.050614421502878,2.764,3.8578,4.078967
22,3.5657194411510127,4.75,3.5165,3.598491
23,3.1323854812889107,2.905,3.293,3.141314
24,2.7465119075069433,2.107,2.8107,2.695439
25,2.4039926273751457,2.638,2.4205,2.440849
