r,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,15.964523281596454,17.42,17.42671
2,9.499551043594586,10.547,10.60183
3,7.536833885827109,8.561,8.54017
4,6.727091402225849,7.852,7.73656
5,6.4046357812927095,7.11,7.1096
6,6.351704907067148,7.331,7.36163
7,6.4791889488855015,7.458,7.13357
8,6.746924029417962,7.343,7.12892
9,7.137241948475199,7.396,7.39364
10,7.644516996052775,7.801,7.90354
11,8.27055182142449,8.481,8.62451
12,9.022420168826716,9.425,9.5333
13,9.91146983581218,10.456,10.42747
14,10.952934789043924,11.158,10.91122
15,12.165904426838868,11.198,11.03638
