r,Markov,Geometric,Sim (10e2),Sim (10e4),Sim (10e6)
1,0.15972222222222224,0.1597222222222222,0.09,0.1573,0.159385
2,0.29282407407407407,0.2939332561728395,0.38,0.3038,0.294508
3,0.405590920781893,0.4067078055341221,0.35,0.4006,0.407065
4,0.5003528150184328,0.5014697532613108,0.48,0.4998,0.50192
5,0.5799791735010661,0.581096112115407,0.52,0.5774,0.581598
6,0.6468874333689423,0.6480043719858628,0.6,0.65,0.647867
7,0.7031089572878491,0.7042258959047876,0.63,0.7006,0.704084
8,0.7503506544697232,0.7514675930866618,0.81,0.746,0.751523
9,0.7900468027961591,0.7911637414130978,0.83,0.7927,0.790798
10,0.8234025940982338,0.8245195327151724,0.84,0.8249,0.825059
11,0.8514307242895605,0.852547662906499,0.78,0.8543,0.853058
12,0.8749821392419946,0.8760990778589333,0.89,0.8771,0.875809
13,0.8947718698617484,0.8958888084786869,0.88,0.8993,0.895811
14,0.9114007407297359,0.9125176793466744,0.88,0.9097,0.912227
15,0.925373611389642,0.9264905500065805,0.96,0.9309,0.926083
16,0.9371147040969243,0.9382316427138628,0.97,0.9394,0.938034
17,0.9469804833856823,0.9480974220026209,0.97,0.9429,0.948141
18,0.9552704784824859,0.9563874170994244,0.94,0.9552,0.956525
19,0.9622363771402167,0.9633533157571553,0.94,0.9643,0.963519
20,0.96808966698456,0.9692066056014985,0.96,0.9714,0.969329
21,0.973008056367654,0.9741249949845925,0.99,0.9754,0.9742
22,0.977140869668726,0.9782578082856646,0.97,0.9786,0.978383
23,0.9806135808453212,0.9817305194622598,1.0,0.9827,0.981727
24,0.9835316228756548,0.9846485614925933,0.96,0.9843,0.98457
25,0.9859835887483656,0.9871005273653041,1.0,0.9877,0.98702
