s,Expected Score,Sim Avg (10e2),Sim Avg (10e4),Sim Avg (10e6)
1,6.263888888888888,6.27,6.3024,6.260434
2,6.263888888888888,5.87,6.2582,6.267233
3,6.263888888888888,6.44,6.2487,6.263372
4,6.263888888888888,6.44,6.2505,6.262602
5,6.420138888888888,6.04,6.3929,6.414133
6,6.875578703703703,7.14,6.8549,6.87091
7,7.6493055555555545,7.91,7.563,7.648142
8,8.578414351851851,8.36,8.5862,8.575064
9,9.44790594993141,8.53,9.5293,9.4531
10,10.073548954046638,9.29,9.9814,10.076646
11,10.467839077503427,11.27,10.5129,10.47288
12,10.747784314986282,11.14,10.7707,10.745136
13,11.043268893008877,10.32,10.9833,11.037474
14,11.414844896095296,12.06,11.2626,11.409172
15,11.85324644144852,13.2,11.8507,11.844383
16,12.299197033726756,12.25,12.2666,12.307461
17,12.70069988591638,13.88,12.641,12.704251
18,13.03396371241502,13.25,12.8635,13.039099
19,13.306958371859,12.69,13.2958,13.307433
20,13.545693286131568,13.38,13.5648,13.55185
21,13.775145760944833,13.42,13.657,13.774256
22,14.006641169461878,13.12,13.9643,14.012619
23,14.236789760097077,15.8,14.0567,14.230087
24,14.454668570242154,15.89,14.3565,14.471805
25,14.650682141163442,12.11,14.5309,14.637262
26,14.821562565665838,14.68,14.7563,14.817793
27,14.970198846966957,16.85,15.0837,14.985371
28,15.102200402575372,16.57,15.2323,15.099673
29,15.222230536472434,16.79,14.9594,15.232027
30,15.332172456432634,11.92,15.3127,15.335991
31,15.431478899876124,17.47,15.574,15.423469
32,15.51870832731542,18.18,15.4042,15.558821
33,15.592957170066239,19.78,15.5835,15.600087
34,15.654422126205423,11.94,15.6957,15.64007
35,15.704104657026548,15.82,15.6776,15.709699
36,15.74316239864403,10.51,15.7345,15.730869
37,15.772430613549492,16.38,15.561,15.798344
38,15.792336181174026,14.23,15.8958,15.800777
39,15.80310038536761,14.05,15.6618,15.788392
40,15.804982801067924,17.37,16.0051,15.791364
41,15.798383512198981,13.25,16.0465,15.763101
42,15.783782579337059,15.08,15.4102,15.785731
43,15.761617652501313,16.09,15.6909,15.768658
44,15.732214844528173,14.1,15.7997,15.748327
45,15.695817122329895,16.56,15.4429,15.719858
46,15.652670728276343,17.49,15.5146,15.582487
47,15.603094482374837,15.38,15.6604,15.602586
48,15.547482278721406,18.0,15.5229,15.561327
49,15.486244604583609,13.6,15.7986,15.489036
50,15.419736472757698,13.72,15.655,15.416197
