s,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,15.964523281596454,17.703,17.38987
2,15.964523281596454,17.641,17.42319
3,15.964523281596454,17.413,17.42175
4,15.964523281596454,17.526,17.4113
5,15.575987020010817,16.852,17.00503
6,14.544230283646158,16.046,15.89723
7,13.07308216068997,14.502,14.37883
8,11.65716598644045,12.704,12.87594
9,10.584355996973697,11.691,11.77006
10,9.926988041273088,11.165,11.06973
11,9.553070051956697,10.75,10.62445
12,9.304243281153678,10.374,10.40099
13,9.055289785011633,10.184,10.17047
14,8.760522014119285,9.91,9.78529
15,8.436507288865542,9.563,9.47622
16,8.130612081892894,9.175,9.2016
17,7.873581841807673,8.843,8.83434
18,7.672263189190001,8.611,8.59508
19,7.514865321249958,8.411,8.52046
20,7.382420219301923,8.405,8.47101
21,7.2594513143751325,8.354,8.32433
22,7.139470397658649,8.176,8.0743
23,7.0240554004864455,7.856,7.82037
24,6.918180068539941,7.917,7.71732
25,6.82562074833594,7.729,7.7368
26,6.7469269557077665,7.887,7.74544
27,6.679937990286652,7.759,7.77723
28,6.621551650377189,7.593,7.7464
29,6.5693394775752605,7.934,7.62147
30,6.522232924535418,7.627,7.45738
31,6.48026029448174,7.285,7.23765
32,6.4438352658503115,7.113,7.12468
33,6.413151713901309,6.911,7.07174
34,6.387971347252768,7.321,7.0631
35,6.367761944025037,7.156,7.07918
36,6.3519639490356195,7.18,7.09948
37,6.3401768852350395,7.181,7.16278
38,6.3321853621131465,7.183,7.21919
39,6.327872225161076,7.238,7.23052
40,6.327118558663861,7.394,7.31186
41,6.329761517865632,7.013,7.34094
42,6.335616921821546,7.25,7.4242
43,6.3445264442213105,7.583,7.47966
44,6.356384081214161,7.373,7.47366
45,6.371124180450183,7.333,7.42877
46,6.388686105774354,7.339,7.36632
47,6.408985096703696,7.404,7.21968
48,6.431909566275048,7.295,7.11774
49,6.457343439506442,6.878,7.01784
50,6.4851951378463335,6.83,6.97141
