r,E(Xr),Simulation (10e3),Simulation (10e4),Simulation (10e6)
1,3.4013605442176864,3.394,3.3905,3.400735
2,3.4707760655282516,3.486,3.4438,3.466825
3,2.656206172598152,2.715,2.6609,2.664336
4,1.8069429745565657,1.727,1.7947,1.803018
5,1.1523871011202589,1.129,1.1675,1.147837
6,0.7055431231348523,0.7,0.7432,0.702579
7,0.41996614472312643,0.589,0.4096,0.419828
8,0.24487821849744984,0.222,0.2109,0.241918
9,0.140555099902873,0.241,0.1431,0.145877
10,0.07967976184970126,0.185,0.0908,0.081843
11,0.044718233691158855,0.155,0.0451,0.041275
12,0.02488955493014408,0.08,0.0077,0.025407
13,0.013756981891661269,0.0,0.0271,0.01262
14,0.007558781259154543,0.0,0.0,0.008486
15,0.004131986839916842,0.0,0.0214,0.002996
16,0.0022487003210431796,0.0,0.0,0.003319
17,0.001219002087300193,0.0,0.0,0.001232
18,0.000658524536956887,0.0,0.0,0.000598
19,0.00035464756808902643,0.0,0.0,0.000259
20,0.0001904659334527532,0.0,0.0,0.000136
21,0.00010203532149254637,0.0,0.0,0.0
22,5.453782975792079e-05,0.0,0.0,0.0
23,2.9090215316145136e-05,0.0,0.0,0.0
24,1.548724861551649e-05,0.0,0.0,0.000149
25,8.230893184266841e-06,0.0,0.0,0.0
