r,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,29.400000000000006,103.164,107.44298
2,28.812000000000012,144.028,146.96322
3,37.64768000000001,265.339,269.2973
4,55.34208960000003,502.351,519.44319
5,86.77639649280007,1003.344,1044.16391
6,141.7347809382401,1425.936,1519.62222
7,238.11443197624348,2798.039,2852.38988
8,408.3662508392576,4417.451,4480.08883
9,711.4647570177286,4824.404,4796.80784
10,1255.023831379274,5210.352,5209.46054
11,2236.2242813667062,5863.219,6036.43085
12,4017.749625522185,7238.469,7582.47513
13,7269.036245560134,10521.829,10532.08369
14,13229.645966919454,16589.541,15542.57989
15,24201.432355484663,21861.102,21565.58366
