r,Markov,Geometric,Sim (10e2),Sim (10e4),Sim (10e6)
1,0.4897959183673469,0.4897959183673469,0.54,0.4904,0.489539
2,0.738581146744412,0.7396917950853811,0.77,0.7373,0.739142
3,0.8660765245521596,0.8671896913700924,0.82,0.8648,0.867261
4,0.9311264659253637,0.9322396384541287,0.92,0.9292,0.932147
5,0.9643152144246774,0.9654283869663922,0.95,0.9649,0.965391
6,0.9812482493798844,0.9823614219216287,1.0,0.9831,0.982248
7,0.9898875529284744,0.9910007254702187,1.0,0.991,0.991025
8,0.9942953608614284,0.9954085334031728,0.99,0.9953,0.995402
9,0.9965442424598744,0.9976574150016188,0.98,0.9971,0.997784
10,0.9976916310305101,0.9988048035722544,1.0,0.9993,0.998846
11,0.9982770333624671,0.9993902059042115,1.0,0.9994,0.999366
12,0.9985757080216289,0.9996888805633732,1.0,0.9996,0.999689
13,0.9987280930518134,0.9998412655935578,1.0,0.9998,0.99984
14,0.9988058405161933,0.9999190130579376,1.0,1.0,0.999927
15,0.9988455075898565,0.9999586801316008,1.0,1.0,0.999965
16,0.9988657458927459,0.9999789184344903,1.0,1.0,0.999984
17,0.9988760715574854,0.9999892440992297,1.0,1.0,0.999989
18,0.998881339753781,0.9999945122955254,1.0,1.0,0.999993
19,0.9988840276090339,0.9999972001507782,1.0,1.0,0.999999
20,0.9988853989637548,0.9999985715054991,1.0,1.0,0.999998
21,0.9988860986345308,0.9999992711762751,1.0,1.0,1.0
22,0.9988864556094165,0.9999996281511607,1.0,1.0,1.0
23,0.9988866377394602,0.9999998102812044,1.0,1.0,0.999998
24,0.9988867306629519,0.9999999032046961,1.0,1.0,1.0
25,0.9988867780728966,0.9999999506146409,1.0,1.0,1.0
