s,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,29.400000000000006,108.554,107.77721
2,29.400000000000006,110.858,107.8024
3,29.400000000000006,106.832,107.50453
4,29.400000000000006,110.626,107.78387
5,28.709920283436674,106.027,107.9121
6,28.01512532411409,110.231,110.65497
7,27.64147564469915,115.263,115.7556
8,27.662234587287507,117.419,124.08936
9,27.992831435231047,143.602,132.5473
10,28.438746079274466,136.618,142.4006
11,28.96551592075115,149.329,149.94623
12,29.635717948252275,158.788,160.14355
13,30.54181346461441,165.298,170.94241
14,31.7267132361569,187.591,189.05399
15,33.171083745584724,207.15,208.18198
16,34.780989277064,223.141,226.45125
17,36.48410971981962,244.586,254.4015
18,38.2679765095323,269.968,280.18163
19,40.18817743788341,294.45,298.66883
20,42.32078420890575,321.059,323.01811
21,44.72083821795614,357.975,363.66248
22,47.40283007466017,442.849,417.71381
23,50.34845839656557,469.788,470.86864
24,53.53176093891204,489.424,499.44728
25,56.948223100966985,510.153,524.45647
26,60.62521918860425,567.454,559.20049
27,64.61261763024063,591.52,613.92454
28,68.96296964199097,698.892,691.16228
29,73.71596837173793,812.687,794.64691
30,78.89502238963281,937.871,928.72281
31,84.51578538375387,1117.358,1063.86223
32,90.59930083877096,1099.049,1159.01166
33,97.1813649858574,1179.594,1204.45596
34,104.3132762023733,1271.353,1223.21993
35,112.05551641885613,1219.787,1254.4454
36,120.46978021233706,1295.661,1291.97101
37,129.61462850266287,1301.151,1356.54917
38,139.54680862729126,1370.482,1428.5631
39,150.32659907951515,1562.793,1525.52386
40,162.0234992982517,1602.412,1640.26872
41,174.71914490827854,1808.052,1790.94773
42,188.5066194956405,1881.007,1977.63235
43,203.48768366558193,2283.313,2190.52455
44,219.77040335871902,2436.72,2468.62667
45,237.46895929467075,2766.259,2803.92749
46,256.70581236577306,3191.843,3209.17524
47,277.6150199563509,3844.367,3664.22732
48,300.34510711014406,4140.601,4118.87393
49,325.0605344792801,4312.214,4438.16928
50,351.94188999057667,4379.659,4573.91229
