r,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,18.000000000000004,23.386,23.84851
2,12.96,18.446,17.68994
3,12.4416,17.348,17.34662
4,13.436928000000002,18.335,18.87044
5,15.479341056,20.924,21.08828
6,18.575209267200005,26.433,26.16176
7,22.92711543837258,31.544,29.93499
8,28.88816545234944,34.277,32.83104
9,36.976851779007305,37.541,38.65077
10,47.921999905593445,47.844,48.15022
11,62.734254421867796,61.188,62.63692
12,82.80921583686553,82.876,82.78282
13,110.07255766623359,101.295,99.65989
14,147.18273425084945,107.088,105.83662
15,197.81359483314165,101.333,106.17722
