r,Markov,Geometric,Sim (10e2),Sim (10e4),Sim (10e6)
1,0.3055555555555556,0.3055555555555556,0.33,0.3062,0.305317
2,0.5092592592592593,0.5177469135802469,0.52,0.5191,0.518381
3,0.6563786008230453,0.6651020233196159,0.56,0.6663,0.665317
4,0.7587019890260631,0.7674319606386222,0.72,0.7697,0.767303
5,0.8297642635777066,0.8384944171101543,0.75,0.8391,0.838482
6,0.879113186629607,0.8878433452153849,0.91,0.8905,0.887436
7,0.9133832754512025,0.9221134341773507,0.92,0.9175,0.922118
8,0.9371819483375573,0.9459121070676046,0.94,0.9457,0.945936
9,0.9537088045112365,0.9624389632413921,0.97,0.9602,0.962127
10,0.9651857879652526,0.9739159466954111,0.99,0.9738,0.973961
11,0.9731559153638768,0.9818860740940355,0.96,0.9821,0.981626
12,0.978690726057366,0.9874208847875247,1.0,0.9886,0.98752
13,0.9825343445945112,0.9912645033246699,0.99,0.9907,0.991192
14,0.9852035241341953,0.9939336828643541,0.99,0.9942,0.993847
15,0.9870571210367538,0.9957872797669126,0.97,0.996,0.995787
16,0.988344341107975,0.9970744998381338,1.0,0.9959,0.997155
17,0.9892382439352119,0.9979684026653707,1.0,0.9981,0.997978
18,0.9898590097874598,0.9985891685176185,1.0,0.9985,0.998656
19,0.9902900971848542,0.9990202559150129,1.0,0.9991,0.999021
20,0.9905894634330447,0.9993196221632034,1.0,0.9991,0.999344
21,0.9907973566609547,0.9995275153911134,1.0,0.9996,0.999555
22,0.9909417269581144,0.9996718856882733,1.0,0.9997,0.999666
23,0.9910419841089199,0.9997721428390787,0.99,0.9998,0.999766
24,0.9911116071303125,0.9998417658604712,1.0,0.9998,0.999838
25,0.9911599564507241,0.9998901151808828,1.0,0.9999,0.999902
