s,Expected Score,Sim Avg (10e2),Sim Avg (10e4),Sim Avg (10e6)
1,5.5555555555555545,5.53,5.5214,5.545756
2,5.5555555555555545,5.77,5.5687,5.558787
3,5.5555555555555545,5.78,5.5528,5.5564
4,5.5555555555555545,5.28,5.6227,5.555424
5,5.675925925925926,6.05,5.6217,5.672679
6,5.8996913580246915,4.91,5.8823,5.898649
7,6.209876543209877,6.01,6.2683,6.217227
8,6.589506172839504,7.04,6.59,6.580964
9,7.0240054869684485,6.2,7.1039,7.017632
10,7.344393004115226,6.04,7.4505,7.340635
11,7.572016460905349,7.68,7.603,7.566373
12,7.727794924554185,8.52,7.7393,7.735223
13,7.831316205608898,7.14,7.9977,7.834332
14,7.8950486301630844,8.55,8.0054,7.894036
15,7.962667657369302,9.05,8.0498,7.969293
16,8.023848308184728,8.51,8.1293,8.008195
17,8.069373396458872,9.75,7.8921,8.066121
18,8.09356993238666,8.68,8.0851,8.06703
19,8.09699333392606,10.74,8.042,8.109171
20,8.0833759356636,9.62,8.3129,8.094551
21,8.056939328269154,9.28,7.8236,8.051055
22,8.020251567311504,7.48,7.8618,8.033826
23,7.972442356312834,8.34,7.7993,7.973646
24,7.911935869365671,8.54,8.1905,7.901983
25,7.83802811702999,7.17,7.6441,7.827651
26,7.751759213660865,8.65,7.8857,7.73795
27,7.655766064103567,7.21,7.659,7.644513
28,7.553933235385784,7.47,7.3562,7.552591
29,7.448924912181837,8.91,7.6206,7.435659
30,7.341604988447628,7.59,7.2888,7.350825
31,7.231190158416814,6.43,7.3511,7.225855
32,7.116350502291489,7.82,7.0916,7.078176
33,6.9961613643397556,6.35,7.0035,7.007376
34,6.8706685302864745,6.56,6.8948,6.89877
35,6.740955202846735,6.03,6.7033,6.764191
36,6.608763378069646,5.49,6.7067,6.641773
37,6.475702377853131,4.9,6.29,6.479322
38,6.342747057049939,9.85,6.2697,6.336701
39,6.210117402721931,7.61,6.0057,6.187147
40,6.077502626341112,4.3,6.131,6.093054
41,5.944439415894679,4.45,5.9118,5.951825
42,5.8106988868459,8.64,5.9776,5.774172
43,5.676458541043763,3.75,5.656,5.65074
44,5.542244443609001,5.57,5.5877,5.503968
45,5.408712689932398,3.85,5.3624,5.393299
46,5.276420845563656,5.36,5.366,5.269458
47,5.145689894305258,7.11,4.954,5.159106
48,5.016592789541124,5.11,4.8421,5.012888
49,4.889045603076942,3.64,5.0939,4.886872
50,4.762942968807329,5.75,4.6687,4.771276
