s,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,18.000000000000004,23.553,23.8437
2,18.000000000000004,24.424,23.8212
3,18.000000000000004,23.949,23.78218
4,18.000000000000004,23.548,23.8194
5,17.61827079934747,23.077,23.35165
6,16.950039236201935,22.983,22.53106
7,16.10337972166998,21.9,21.46035
8,15.17564402810305,20.299,20.36321
9,14.236890928620255,18.838,19.27225
10,13.615829101733498,18.643,18.48797
11,13.206521739130435,18.232,18.03111
12,12.940301984756536,17.763,17.70377
13,12.769245599913154,17.887,17.44822
14,12.666166439804988,17.413,17.33424
15,12.55860526935993,17.102,17.24584
16,12.462847770688159,17.197,17.1741
17,12.392535961204072,17.115,17.1471
18,12.355487236830689,17.286,17.07413
19,12.35026334787806,16.688,17.13511
20,12.371068820244169,17.321,17.24643
21,12.411661044676462,17.302,17.32167
22,12.468436826542256,17.168,17.41781
23,12.54320765590946,17.772,17.49199
24,12.639131768900116,17.635,17.52654
25,12.758310956135269,18.4,17.69161
26,12.900297499407719,18.612,17.89384
27,13.062050115256396,17.822,18.24574
28,13.23813659505993,19.638,18.7024
29,13.42475607942588,19.213,19.07343
30,13.620999789195258,19.493,19.32568
31,13.828982201996725,20.051,19.60976
32,14.05214652760564,19.387,19.74803
33,14.29355253435285,19.499,19.86497
34,14.55462442398316,19.838,19.98027
35,14.834692857440968,19.361,20.15622
36,15.131423880576126,19.869,20.48113
37,15.442340330834147,21.115,20.83833
38,15.766039399103954,21.956,21.29084
39,16.102755151805894,21.318,21.83151
40,16.454126990678702,23.471,22.39032
41,16.82244413705566,22.528,22.99531
42,17.209633806077484,23.685,23.70875
43,17.61661769868444,24.625,24.57449
44,18.043231585592416,25.784,25.5218
45,18.488687740085872,25.223,26.29941
46,18.95224109806909,26.973,27.29731
47,19.433740092007902,27.635,28.05623
48,19.933848369850878,29.713,28.86106
49,20.453889801531933,29.689,29.31811
50,20.995422505560807,29.193,29.59837
