r,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,12.250000000000002,12.921,12.92753
2,6.752812500000002,7.294,7.38401
3,4.963317187500002,5.494,5.45754
4,4.104042899414064,4.488,4.50682
5,3.619765837283205,4.403,4.4051
6,3.3256598630039464,3.681,3.64438
7,3.1427485705387292,3.504,3.56485
8,3.0317702616415803,3.627,3.63382
9,2.971134856408749,3.657,3.71505
10,2.948108561271582,3.79,3.78675
11,2.954808808001745,3.524,3.50255
12,2.9862036515867643,3.217,3.1636
13,3.039036485422529,3.11,3.0841
14,3.1112136019513144,3.09,3.09546
15,3.201438796407905,2.986,3.09817
