r,Markov,Geometric,Sim (10e2),Sim (10e4),Sim (10e6)
1,0.09297052154195008,0.09297052154195007,0.12,0.0896,0.093071
2,0.16970809487816285,0.17729752520811792,0.17,0.1789,0.177049
3,0.24557562770035957,0.2537846033633723,0.25,0.2492,0.253944
4,0.3149010871790708,0.32316063797131267,0.28,0.319,0.323376
5,0.37782306708502067,0.38608674645924046,0.45,0.3937,0.38652
6,0.4348985654211202,0.4431625818224403,0.55,0.4476,0.442794
7,0.4866680030907445,0.494932047004481,0.53,0.49,0.494679
8,0.5336244318489514,0.5418884780085995,0.52,0.5401,0.542049
9,0.5762152987895286,0.5844793451325165,0.57,0.5966,0.585376
10,0.6148464707690446,0.623110517126999,0.62,0.6221,0.623061
11,0.6498860825542015,0.6581501289133779,0.62,0.6527,0.658816
12,0.6816680433580734,0.6899320897173495,0.76,0.6915,0.689369
13,0.7104952186904658,0.7187592650497501,0.7,0.7163,0.718074
14,0.7366423164976312,0.7449063628569161,0.74,0.7491,0.744277
15,0.7603585049848566,0.7686225513441416,0.84,0.7724,0.768917
16,0.7818697870594374,0.7901338334187226,0.76,0.7875,0.789067
17,0.8013811540205085,0.8096452003797937,0.8,0.8034,0.809982
18,0.8190785390192123,0.8273425853784977,0.88,0.8297,0.827487
19,0.8351305889046581,0.8433946352639434,0.83,0.8436,0.842694
20,0.8496902713404365,0.857954317699722,0.83,0.8589,0.857608
21,0.8628963325066754,0.871160378865961,0.85,0.8694,0.870875
22,0.8748746192787742,0.8831386656380599,0.85,0.8801,0.883425
23,0.8857392784824919,0.8940033248417776,0.87,0.8919,0.894227
24,0.8955938446536644,0.9038578910129502,0.86,0.9039,0.903738
25,0.9045322266683334,0.9127962730276192,0.89,0.9076,0.912586
