s,Expected Score,Sim Avg (10e2),Sim Avg (10e4),Sim Avg (10e6)
1,8.163265306122447,8.42,8.1093,8.157095
2,8.163265306122447,8.14,8.1863,8.161747
3,8.163265306122447,8.12,8.1933,8.164654
4,8.163265306122447,8.17,8.2046,8.164499
5,8.23393544870707,8.42,8.1985,8.234494
6,8.443416066350954,8.4,8.433,8.443895
7,8.874563582046575,8.82,8.8723,8.871017
8,9.62410723926759,9.58,9.6683,9.62827
9,10.802416236126614,10.42,10.734,10.807776
10,12.068654824671388,11.81,12.1418,12.068846
11,13.278841653570874,13.48,13.2834,13.277273
12,14.285304193715367,14.19,14.1807,14.284677
13,14.941834842310504,14.83,14.9621,14.941666
14,15.102372613134385,15.83,15.2015,15.111558
15,15.379358848680669,16.59,15.3698,15.372414
16,15.804559919982614,16.43,15.7133,15.802592
17,16.38960560808851,15.79,16.398,16.387654
18,17.105013675363274,17.37,17.0324,17.093987
19,17.8913799750593,17.16,17.8368,17.899826
20,18.670750584908223,19.85,18.5843,18.678339
21,19.36635252399871,19.35,19.2876,19.36089
22,19.930796357415716,19.02,19.9901,19.920107
23,20.38310690397238,19.71,20.3815,20.377941
24,20.770127972971615,22.44,20.9486,20.767988
25,21.15091534186226,20.8,21.2552,21.125884
26,21.576882308195035,23.97,21.4916,21.575475
27,22.070273752958723,21.69,21.7928,22.07843
28,22.601765451252195,20.35,22.6277,22.590253
29,23.136082598249764,23.51,23.1081,23.131918
30,23.641209957348806,24.56,23.5878,23.625911
31,24.097705238821316,24.66,24.0489,24.117084
32,24.50261025901647,24.75,24.5208,24.496103
33,24.868101019280022,23.93,24.6864,24.861647
34,25.215102525798404,23.32,25.4894,25.250157
35,25.563838436655523,25.62,25.7559,25.577087
36,25.925199031066455,24.87,25.8352,25.896696
37,26.298920969205135,23.62,26.5285,26.327971
38,26.67576814703186,25.42,26.6379,26.699104
39,27.0426934082237,27.76,27.1816,27.037305
40,27.388926653390662,28.29,27.7522,27.38865
41,27.71037000173255,30.26,27.7311,27.703044
42,28.009335964799515,30.1,27.9315,28.029793
43,28.292363186517363,29.03,28.1889,28.273371
44,28.566988161161266,28.88,28.2784,28.577807
45,28.838804697174957,28.89,28.6134,28.821643
46,29.10976992609513,27.13,28.9885,29.163556
47,29.378194384095536,33.86,29.9133,29.354338
48,29.640178453325674,34.9,29.7603,29.597868
49,29.891672254757452,29.5,30.0199,29.93721
50,30.13013233322961,31.96,30.4454,30.128804
