s,Estimated Turns,Sim Avg (10e3),Sim Avg (10e5)
1,12.250000000000002,12.989,12.93715
2,12.250000000000002,12.936,12.93263
3,12.250000000000002,12.997,12.9285
4,12.250000000000002,12.932,12.93773
5,12.144860816913795,12.842,12.81809
6,11.84354758952648,12.438,12.52398
7,11.268159732643312,11.856,11.94752
8,10.390574160685492,11.079,11.07681
9,9.257188189580136,9.805,9.92326
10,8.285927591165725,9.055,8.92939
11,7.530777353091528,8.107,8.16663
12,7.000200950848053,7.658,7.61985
13,6.692618480618721,7.2,7.33259
14,6.62147614561112,7.248,7.26358
15,6.502221645512783,7.21,7.17257
16,6.3272878527648375,6.98,6.98195
17,6.101428087485433,6.646,6.68192
18,5.84623911432659,6.47,6.40735
19,5.589283785789617,6.19,6.24275
20,5.355971070645179,6.022,5.99352
21,5.163594945206144,5.747,5.68784
22,5.017360982808531,5.52,5.48032
23,4.9060234276900845,5.371,5.39214
24,4.814606830065325,5.374,5.37196
25,4.727927769730053,5.286,5.3706
26,4.63458986204042,5.353,5.3597
27,4.530981406000643,5.317,5.29786
28,4.424433136238026,5.13,5.14522
29,4.322252895464894,4.875,4.92421
30,4.229901945814548,4.726,4.68153
31,4.149772727691115,4.575,4.52075
32,4.081197837410078,4.492,4.44471
33,4.021215770455125,4.397,4.42049
34,3.9658771919601237,4.427,4.42785
35,3.911775621950881,4.441,4.42893
36,3.8572510043286026,4.332,4.43382
37,3.8024373744115034,4.483,4.42571
38,3.7487205410100524,4.491,4.43963
39,3.6978565148983993,4.465,4.44753
40,3.651110584416433,4.476,4.45158
41,3.6087572989371,4.474,4.44529
42,3.570238156508748,4.438,4.42315
43,3.5345227028491806,4.487,4.37542
44,3.5005440348085664,4.344,4.28239
45,3.467550096131272,4.149,4.14614
46,3.435272771096556,3.921,3.97911
47,3.403885163689194,3.858,3.79425
48,3.3737988506874137,3.741,3.68086
49,3.345413369574342,3.506,3.58337
50,3.3189366343974873,3.456,3.53576
